clave_vuelo,aeropuerto,num_vuelo,iata_compania,aerolinea,destino_iata,destino_ciudad,salida_programada,salida_estimada,estado,estado_desc,terminal,puerta,mostrador,tipo_aeronave,detectado_en
MAD_5356_13/09/2026_12:40:00_LTN,MAD,5356,W9,Wizz Air,LTN,LONDRES /LUTON,2026-09-13 12:40:00,2026-09-13 15:49:00,CER,Cerrado,null,A14,null-null,A21N,2026-09-13 15:01:22.613077
MAD_1312_13/09/2026_13:35:00_GVA,MAD,1312,EC,easyJet,GVA,GINEBRA,2026-09-13 13:35:00,2026-09-13 16:16:00,BOR,Embarcando,T1,C45,null-null,A320,2026-09-13 15:01:22.613077
MAD_5343_13/09/2026_14:30:00_BRI,MAD,5343,AP,Alba Star,BRI,BARI /PALESE,2026-09-13 14:30:00,2026-09-13 15:03:00,BOR,Embarcando,T2,D161,null-null,738W,2026-09-13 15:01:22.613077
MAD_301_13/09/2026_14:30:00_LIM,MAD,301,PU,Plus Ultra,LIM,LIMA,2026-09-13 14:30:00,2026-09-13 14:55:00,BOR,Embarcando,T4,S44,null-null,A332,2026-09-13 15:01:22.613077
MAD_063_13/09/2026_14:35:00_BOS,MAD,063,DL,Delta,BOS,BOSTON,2026-09-13 14:35:00,2026-09-13 16:26:00,BOR,Embarcando,T1,A6,null-null,A339,2026-09-13 15:01:22.613077
MAD_9110_13/09/2026_14:35:00_BOS,MAD,9110,AF,Air France,BOS,BOSTON,2026-09-13 14:35:00,2026-09-13 16:26:00,BOR,Embarcando,T1,A6,null-null,A339,2026-09-13 15:01:22.613077
MAD_8202_13/09/2026_14:35:00_BOS,MAD,8202,KL,KLM,BOS,BOSTON,2026-09-13 14:35:00,2026-09-13 16:26:00,BOR,Embarcando,T1,A6,null-null,A339,2026-09-13 15:01:22.613077
MAD_0351_13/09/2026_14:35:00_LAX,MAD,0351,IB,Iberia,LAX,LOS ANGELES,2026-09-13 14:35:00,2026-09-13 14:59:00,BOR,Embarcando,T4,S12,null-null,A359,2026-09-13 15:01:22.613077
MAD_9421_13/09/2026_14:50:00_VGO,MAD,9421,RO,Tarom,VGO,VIGO,2026-09-13 14:50:00,2026-09-13 15:02:00,BOR,Embarcando,T1,D66,null-null,738W,2026-09-13 15:01:22.613077
MAD_3376_13/09/2026_14:50:00_VGO,MAD,3376,KL,KLM,VGO,VIGO,2026-09-13 14:50:00,2026-09-13 15:02:00,BOR,Embarcando,T1,D66,null-null,738W,2026-09-13 15:01:22.613077
